0 COMPANY,0 COMPANY LINK,0 COMPANY LINK DOU,0 COMPANY SIZE,0 DESCRIPTION,1 COMPANY EMAIL,1 COMPANY OFFICE ADDRESS,1 COMPANY OFFICE CITY,1 COMPANY PHONE,2 COMPANY EMAIL,2 COMPANY OFFICE ADDRESS,2 COMPANY OFFICE CITY,2 COMPANY PHONE,3 COMPANY EMAIL,3 COMPANY OFFICE ADDRESS,3 COMPANY OFFICE CITY,3 COMPANY PHONE,4 COMPANY EMAIL,4 COMPANY OFFICE ADDRESS,4 COMPANY OFFICE CITY,4 COMPANY PHONE,5 COMPANY EMAIL,5 COMPANY OFFICE ADDRESS,5 COMPANY OFFICE CITY,5 COMPANY PHONE,6 COMPANY EMAIL,6 COMPANY OFFICE ADDRESS,6 COMPANY OFFICE CITY,6 COMPANY PHONE,7 COMPANY EMAIL,7 COMPANY OFFICE ADDRESS,7 COMPANY OFFICE CITY,7 COMPANY PHONE,8 COMPANY EMAIL,8 COMPANY OFFICE ADDRESS,8 COMPANY OFFICE CITY,8 COMPANY PHONE,9 COMPANY EMAIL,9 COMPANY OFFICE ADDRESS,9 COMPANY OFFICE CITY,9 COMPANY PHONE,10 COMPANY EMAIL,10 COMPANY OFFICE ADDRESS,10 COMPANY OFFICE CITY,10 COMPANY PHONE,11 COMPANY EMAIL,11 COMPANY OFFICE ADDRESS,11 COMPANY OFFICE CITY,11 COMPANY PHONE,12 COMPANY EMAIL,12 COMPANY OFFICE ADDRESS,12 COMPANY OFFICE CITY,12 COMPANY PHONE,13 COMPANY EMAIL,13 COMPANY OFFICE ADDRESS,13 COMPANY OFFICE CITY,13 COMPANY PHONE,14 COMPANY EMAIL,14 COMPANY OFFICE ADDRESS,14 COMPANY OFFICE CITY,14 COMPANY PHONE,15 COMPANY EMAIL,15 COMPANY OFFICE ADDRESS,15 COMPANY OFFICE CITY,15 COMPANY PHONE,16 COMPANY EMAIL,16 COMPANY OFFICE ADDRESS,16 COMPANY OFFICE CITY,16 COMPANY PHONE,17 COMPANY EMAIL,17 COMPANY OFFICE ADDRESS,17 COMPANY OFFICE CITY,17 COMPANY PHONE,18 COMPANY EMAIL,18 COMPANY OFFICE ADDRESS,18 COMPANY OFFICE CITY,18 COMPANY PHONE,19 COMPANY EMAIL,19 COMPANY OFFICE ADDRESS,19 COMPANY OFFICE CITY,20 COMPANY EMAIL,20 COMPANY OFFICE CITY,21 COMPANY EMAIL,21 COMPANY OFFICE CITY,22 COMPANY EMAIL,22 COMPANY OFFICE CITY,23 COMPANY OFFICE CITY,24 COMPANY OFFICE CITY,25 COMPANY OFFICE CITY,26 COMPANY OFFICE CITY,27 COMPANY OFFICE CITY,28 COMPANY OFFICE CITY,29 COMPANY OFFICE CITY,30 COMPANY OFFICE CITY
Genesis,http://gen.tech/,https://jobs.dou.ua/companies/genesis-technology-partners/,1500,"https://s.dou.ua/storage-files/genesis_01.png
 https://s.dou.ua/storage-files/genesis_02.png
 https://s.dou.ua/storage-files/genesis_03.jpg
 https://s.dou.ua/storage-files/genesis_04.png
 https://s.dou.ua/storage-files/genesis_05.jpg
 https://s.dou.ua/storage-files/genesis_06.png
 ",support@dou.ua,"ул. Кирилловская, 40Р",Київ,,,"улица Кирилловская, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalLogic,http://www.globallogic.com/ua,https://jobs.dou.ua/companies/globallogic/,1500,"https://s.dou.ua/storage-files/gl_001.png
 https://s.dou.ua/storage-files/gl_002.png
 https://s.dou.ua/storage-files/gl_003b.png
 https://s.dou.ua/storage-files/gl_004.png
 https://s.dou.ua/storage-files/gl_005.png
 https://s.dou.ua/storage-files/gl_005_2.jpg
 https://s.dou.ua/storage-files/gl_005_3.png
 https://s.dou.ua/storage-files/gl_007b.png
 https://s.dou.ua/storage-files/gl_008.png
 https://s.dou.ua/storage-files/gl_009.png
 https://s.dou.ua/storage-files/gl_010.png
 https://s.dou.ua/storage-files/gl_011.png
 ",join.kyiv@globallogic.com,"Протасов Бізнес-Парк, вул. М. Грінченка, 2/1",Київ,+380-44-492-9695,join.kharkiv@globallogic.com,"вул. Новгородська, 3Б",Харків,+380-57-766-7667,join.lviv@globallogic.com,"вул. Козельницька, 1а",Львів,+380-32-244-5734,join.lviv@globallogic.com,"вул. Шептицьких, 26",Миколаїв,+380-32-244-5734,join.mykolaiv@globallogic.com,"вул. Нікольська, 25",Бидгощ (Польща),+380-51-248-9577,support@dou.ua,ul. Fordońska 2 85-085,Вроцлав (Польща),+48 91 88 285 32,,"ul. Strzegomska 48A, 53-611",Зелена Гура (Польща),+48 717 118 011,,"ul. Dąbrowskiego 1, 65-021",Кошалін (Польща),+48 798 983 682,,"ul. Zwycięstwa 35, 75-022",Краків (Польща),+48 798 983 682,,"Puszkarska 7K, 30-644",Щецин (Польща),+48 12 444 63 66,,"Piastów Office Center, Budynek B, aleja Piastów 30, 71-064",,+48 798 983 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parimatch Tech,https://parimatch.tech,https://jobs.dou.ua/companies/parimatch-tech/,800...1500,"https://s.dou.ua/storage-files/pmtech_001d.png
 https://s.dou.ua/storage-files/pmtech_002.jpg
 https://s.dou.ua/storage-files/pmtech_003c_1.png
 https://s.dou.ua/storage-files/pmtech_003c_23.png
 https://s.dou.ua/storage-files/pmtech_004.png
 https://s.dou.ua/storage-files/pmtech_005.png
 https://s.dou.ua/storage-files/pmtech_006.png
 https://s.dou.ua/storage-files/pmtech_007.png
 ",welcome@pm.tech,"Mykhailo Hrushevskyi street, 9B",Київ,,welcome@pm.tech,"36528th October Avenue, Limassol,3107",Лімасол (Кіпр),,welcome@pm.tech,"Prague 8, Czech republic, Pernerova 51, WorkLounge s.r.o.",Прага (Чехія),,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoftServe,https://www.softserveinc.com/,https://jobs.dou.ua/companies/softserve/,1500,"https://s.dou.ua/storage-files/softserve___01.png
 https://s.dou.ua/storage-files/softserve___02.png
 https://s.dou.ua/storage-files/softserve___03.png
 https://s.dou.ua/storage-files/softserve___04.png
 https://s.dou.ua/storage-files/softserve___05.png
 https://s.dou.ua/storage-files/softserve___06.png
 https://s.dou.ua/storage-files/softserve___07.png
 https://s.dou.ua/storage-files/softserve___08.png
 https://s.dou.ua/storage-files/softserve___09.png
 https://s.dou.ua/storage-files/softserve___10b.png
 https://s.dou.ua/storage-files/softserve___11b.png
 https://s.dou.ua/storage-files/softserve___12.png
 ",careerhub@softserveinc.com,"03057, просп.Перемоги 53",Київ,+380 32 290 14 42,careerhub@softserveinc.com,"04119, вул.Зоологічна 5",Харків,+380 32 290 14 42,careerhub@softserveinc.com,"вул. Сумська 10, 7 поверх",Львів,"0 800 60 3000
+38 057 727 5360",careerhub@softserveinc.com,"Полтавський шлях, 56, 4 поверх",Дніпро,"0 800 60 3000
+38 057 727 5360",careerhub@softserveinc.com,"79000, вул. Героїв УПА, 72, 8 корпус",Одеса,"+380 32 240 9090
+380 32 240 9080",careerhub@softserveinc.com,"79000, вул. Героїв УПА, 72, корпус 40 (вхід з вул. Смаль-Стоцького)",Вінниця,"0 800 60 3000
+380 32 240 9999",careerhub@softserveinc.com,"79000, вул. Пастернака, 5",Чернігів,"+380 32 240 9090
+380 32 240 9080",careerhub@softserveinc.com,"79000, вул. Федьковича, 60а, 1 корпус",Житомир,"+380 32 240 9090
+380 32 240 9080",careerhub@softserveinc.com,"79053, вул. В.Великого, 52",Запоріжжя,+380 32 240 9999,careerhub@softserveinc.com,"вул. Наукова, 7д",Івано-Франківськ,"0 800 60 3000
+380 32 240 9999",careerhub@softserveinc.com,"Садова, 2д",Кременчук,+380 32 240 9999,careerhub@softserveinc.com,"49000, вул. Барикадна 16",Кропивницький,+380 56 790 2272,careerhub@softserveinc.com,"49000, пр. Дмитра Яворницького, 22",Луцьк,"0 800 60 3000
+380 56 790 2272",careerhub@softserveinc.com,76000 вул. Сахарова 23,Миколаїв,"+380 342 723 580
723 558
+380 342 713 646",careerhub@softserveinc.com,"33000, вул. Словацького 4/6",Полтава,+380 362 634 663,careerhub@softserveinc.com,"58032, вул. Головна, 246/1001",Рівне,+380 372 586 130,careerhub@softserveinc.com,11-13 Jaworska Street Wrocław 53-612,Суми,+48 71 382 2800,careerhub@softserveinc.com,"53-55 Totleben Blvd, Sofia 1606",Тернопіль,+3592805-7133,support@dou.ua,,Ужгород,,Херсон,,Хмельницький,,Черкаси,Чернівці,Білосток (Польща),Варшава (Польща),Вроцлав (Польща),Глівіце (Польща),Краків (Польща),Познань (Польща),Софія (Болгарія)
PMI,https://pmi.team/,https://jobs.dou.ua/companies/pm-international/,200...800,"https://s.dou.ua/storage-files/pmi___1.jpg
 https://s.dou.ua/storage-files/pmi___2.jpg
 https://s.dou.ua/storage-files/pmi___3.jpg
 https://s.dou.ua/storage-files/pmi___4.jpg
 ",support@dou.ua,"36528th October Avenue, Limassol,3107",Варшава (Польща),,,,Лімасол (Кіпр),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПриватБанк,http://www.privatbank.ua/,https://jobs.dou.ua/companies/privatbank/,1500,"https://s.dou.ua/storage-files/privatbank__01.png
 https://s.dou.ua/storage-files/privatbank__02.png
 https://s.dou.ua/storage-files/privatbank__03.png
 https://s.dou.ua/storage-files/privatbank__04.png
 https://s.dou.ua/storage-files/privatbank__05.png
 https://s.dou.ua/storage-files/privatbank__06.jpg
 https://s.dou.ua/storage-files/privatbank__07.png
 https://s.dou.ua/storage-files/privatbank__08.png
 https://s.dou.ua/storage-files/privatbank__09.png
 https://s.dou.ua/storage-files/privatbank__10.png
 https://s.dou.ua/storage-files/privatbank__11.png
 ",support@dou.ua,"провулок Музейний, будинок 10",Київ,+380677608541,,Набережная Победы 30,Дніпро,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plarium,https://company.plarium.com/,https://jobs.dou.ua/companies/plarium/,800...1500,"Plarium — міжнародна продуктова компанія-розробник мобільних та компʼютерних ігор. Понад 1800 спеціалістів створюють ігри віддалено і в офісах в Ізраїлі, Україні, Польщі та США.
Raid: Shadow Legends, Mech Arena — ці та 20 інших хітів об’єднують більш ніж 435 мільйонів гравців у всьому світі. За 13 років створення ігор ми досягли високої якості у розробленні та графіці. Здобутий досвід ми поєднуємо з інноваціями в аналітиці, маркетингу та взаємодії з комʼюніті.
Наші ігри доступні на iOS, Android і Plarium Play — оптимізованій платформі для PC та Mac. Facebook двічі визнавав Plarium кращим розробником хардкорних ігор, а наші проєкти регулярно отримують фічеринг від App Store та Google Play.
Компанія була заснована 2009 року. У жовтні
2017-го
стала дочірньою компанією австралійської групи Aristocrat.
Поділяєте наше захоплення іграми та інноваціями? Надсилайте резюме й долучайтесь до команди в офісах у Львові, Києві, Варшаві або віддалено.",recruiting.kyiv@plarium.com,"вул. Богдана Хмельницького, 52, БЦ «Леонардо»",Київ,,talents@plarium.com,"просп. Науки, 27 Б, БЦ «Капиталист»",Харків,,talents@plarium.com,"ул. Гнатюка, 12 А, БЦ RIUS",Львів,,talents@plarium.com,"вул. Велика Арнаутська, 72/74, БЦ Uniqa Park Tower",Одеса,,talents@plarium.com,Grzybowska 56,Варшава (Польща),,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovecs,https://jobs.innovecs.com/?utm_source=DOU&utm_medium=websiteaddress&utm_campaign=DOUcompanyprofile,https://jobs.dou.ua/companies/innovecs/,800...1500,"https://s.dou.ua/storage-files/inn1.png
 https://s.dou.ua/storage-files/inn2.jpg
 https://s.dou.ua/storage-files/inn3.png
 ",Recruitment@innovecs.com,"бул. Вацлава Гавела, 6з",Київ,+38 (044) 593 77 94,support@dou.ua,"вул. Шевченка, 59а",Миколаїв,,,,Краків (Польща),,,,Будапешт (Угорщина),,,,Медельїн (Колумбія),,,,Тбілісі (Грузія),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxoft,http://www.luxoft.com/,https://jobs.dou.ua/companies/luxoft/,1500,"https://s.dou.ua/storage-files/luxoft-1c.jpg
 https://s.dou.ua/storage-files/luxoft-2c_.png
 https://s.dou.ua/storage-files/luxoft-3c.jpg
 https://s.dou.ua/storage-files/luxoft-3a.jpg
 https://s.dou.ua/storage-files/luxoft-4c.jpg
 ",kiev@luxoft.com,"бульвар Вацлава Гавела, 6-з",Київ,"+38 (044) 238 8108
+38 (044) 238 8109",kiev@luxoft.com,"ул. Радищева, 10/14",Дніпро,"+38 (044) 238 8108
+38 (044) 238 8109",kiev@luxoft.com,"бульвар Екатеринославский, 2",Одеса,+38 056 787 17 31,kiev@luxoft.com,"ул. Шевченко, 53",,+38 056 787 1221,kiev@luxoft.com,"ул. Большая Арнаутская, 72/74",,+380 48 720 70 01,kiev@luxoft.com,"ул. Дальницкая, 46",,+380 48 720 70 01,kiev@luxoft.com,"ул. Картамышевская, 9В",,+380 48 720 70 01,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciklum,http://www.ciklum.com/,https://jobs.dou.ua/companies/ciklum/,1500,"https://s.dou.ua/storage-files/ciklum_1705b.jpg
 https://s.dou.ua/storage-files/ciklum_1705b.svg
 ",hr@ciklum.com,12  Mykoly Amosova St.,Київ,+38 044 545 77 45,cv@ciklum.com,"BC 'Dvizhenie', 18-D Otakara Yarosha St.",Харків,+359 24372324,cv@ciklum.com,"BC 'Legenda Class', 111a Shevchenko st.",Львів,,cv@ciklum.com,15-A Barykadna St.,Дніпро,,cv@ciklum.com,"BC 'Kadorr Group', Franzuzskiy blv, 66/1",Одеса,,cv@ciklum.com,"BC “Magicenter”, 24 Soborna st.",Вінниця,,cv@ciklum.com,"25-29 Decebal Bvd.,9th floor, District 3, Bucharest, Romania, 030964, Olympia Tower Building",Бухарест (Румунія),,cv@ciklum.com,"Sky Tower, Szczęśliwa 33, 53-332",Вроцлав (Польща),,cv@ciklum.com,"Tryton Business House, 11 Jana z Kolna",Гданськ (Польща),,cv@ciklum.com,"2nd Floor, One Expressway Plaza, Gulberg Interchange",Ісламабад (Пакистан),,cv@ciklum.com,"Calle Sebastian Souviron 3, Malaga, (29005), Spain",Малага (Іспанія),,cv@ciklum.com,"48, Sitnyakovo Boulevard, floor 10, Sofia, Bulgaria, 1505, BC Serdika Offices",Софія (Болгарія),,cv@ciklum.com,Raoul Wallenberg St 24,Тель-Авів (Ізраїль),,support@dou.ua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
